,title,rating,release_year
20,The Croods: A New Age,7.6,2020
21,The Grinch,6.8,2018
22,Sonic the Hedgehog,7.4,2020
26,"Miraculous World: New York, United HeroeZ",8.3,2020
29,How the Grinch Stole Christmas,6.7,2000
30,Soul,8.2,2020
34,Harry Potter and the Goblet of Fire,7.8,2005
39,Sing,7.1,2016
42,The SpongeBob Movie: Sponge on the Run,7.7,2020
43,Coco,8.2,2017
50,Roald Dahl's The Witches,6.5,2020
51,Frozen II,7.3,2019
53,Pokémon: Mewtwo Strikes Back - Evolution,6.7,2019
55,Percy Jackson & the Olympians: The Lightning Thief,6.2,2010
56,Once Upon a Snowman,6.9,2020
58,Shrek,7.7,2001
59,"Monsters, Inc.",7.8,2001
60,PAW Patrol: Jet to the Rescue,7.0,2020
63,The Polar Express,6.7,2004
64,Big Hero 6,7.8,2014
65,The Christmas Chronicles: Part Two,6.6,2020
69,Shrek 2,7.2,2004
71,Ice Age,7.3,2002
72,Trolls World Tour,7.5,2020
73,The Karate Kid,6.5,2010
74,Charlie and the Chocolate Factory,7.0,2005
75,Cars 3,6.9,2017
76,Ratatouille,7.8,2007
77,Frozen,7.3,2013
78,Toy Story 4,7.6,2019
79,Pokémon the Movie: I Choose You!,7.0,2017
80,Coraline,7.8,2009
81,Jackie Chan Kung Fu Master,4.4,2009
82,Stand by Me Doraemon,7.3,2014
83,We Bare Bears: The Movie,7.9,2020
85,Incredibles 2,7.5,2018
86,We Can Be Heroes,6.3,2020
87,Hotel Transylvania 3: Summer Vacation,6.9,2018
88,100% Wolf,5.9,2020
89,The Lion King,7.2,2019
90,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1,2005
91,The Incredibles,7.7,2004
92,Ice Age: Dawn of the Dinosaurs,6.7,2009
93,The Simpsons Movie,7.0,2007
94,Maleficent: Mistress of Evil,7.4,2019
96,Spirit: Stallion of the Cimarron,7.7,2002
98,Ponyo,7.7,2008
99,The Croods,6.9,2013
100,Red Shoes and the Seven Dwarfs,7.8,2019
101,Wreck-It Ralph,7.3,2012
102,Maleficent,7.1,2014
104,Garfield,5.6,2004
105,Ralph Breaks the Internet,7.2,2018
106,Up,7.9,2009
107,A Christmas Carol,6.8,2009
108,Zootopia,7.7,2016
109,Finding Nemo,7.8,2003
110,Diary of a Wimpy Kid,6.2,2010
111,Rise of the Guardians,7.3,2012
112,Cars 2,6.0,2011
113,Penguins of Madagascar,6.5,2014
114,Toy Story 3,7.8,2010
