,Name,2020 Count,2019 Count,2018 Count,2017 Count,2016 Count,2015 Count,2014 Count,2013 Count,2012 Count,2011 Count,2010 Count,2009 Count,2008 Count,2007 Count,2006 Count,2005 Count,2004 Count,2003 Count,2002 Count,2001 Count,2000 Count
4,A,4.0,10.0,4.0,4.0,9.0,11.0,6.0,7.0,15.0,7.0,6.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,:
5,A:JAY,6.0,0.0,6.0,12.0,9.0,7.0,4.0,8.0,5.0,7.0,7.0,4.0,5.0,5.0,5.0,3.0,8.0,0.0,4.0,3.0,:
7,AABAN,4.0,4.0,5.0,9.0,3.0,9.0,20.0,13.0,19.0,11.0,10.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,:
8,AABID,3.0,4.0,4.0,4.0,3.0,6.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,5
9,AADAM,86.0,140.0,140.0,104.0,145.0,143.0,109.0,109.0,91.0,80.0,63.0,87.0,77.0,72.0,66.0,84.0,67.0,69.0,77.0,48.0,42
12,AADEN,0.0,0.0,7.0,4.0,8.0,0.0,0.0,5.0,0.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
15,AADHAV,3.0,4.0,4.0,0.0,4.0,4.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
23,AADI,4.0,9.0,5.0,11.0,6.0,12.0,16.0,11.0,13.0,11.0,15.0,23.0,13.0,6.0,16.0,9.0,0.0,0.0,0.0,0.0,:
25,AADIL,12.0,9.0,18.0,10.0,14.0,17.0,23.0,16.0,16.0,28.0,20.0,16.0,19.0,32.0,30.0,39.0,35.0,28.0,34.0,34.0,32
26,AADIT,3.0,7.0,3.0,6.0,3.0,3.0,0.0,4.0,10.0,3.0,5.0,11.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,:
