,Name,2020 Rank,2019 Rank,2018 Rank,2017 Rank,2016 Rank,2015 Rank,2014 Rank,2013 Rank,2012 Rank,2011 Rank,2010 Rank,2009 Rank,2008 Rank,2007 Rank,2006 Rank,2005 Rank,2004 Rank,2003 Rank,2002 Rank,2001 Rank,2000 Rank
4,A,3848.0,2104.0,3959.0,3996.0,2335.0,2020.0,2964.0,2660.0,1589.0,2613.0,2941.0,4813.0,3158.0,2741.0,2870.0,4813.0,4813.0,4813.0,4813.0,3134.0,4813.0
5,A:JAY,2960.0,4813.0,3011.0,1923.0,2335.0,2707.0,3895.0,2403.0,3416.0,2613.0,2629.0,3744.0,3158.0,3095.0,2870.0,3849.0,1878.0,4813.0,2636.0,3134.0,4813.0
7,AABAN,3848.0,3937.0,3412.0,2324.0,4810.0,2319.0,1281.0,1706.0,1313.0,1909.0,2036.0,3227.0,2507.0,4333.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
8,AABID,4608.0,3937.0,3959.0,3996.0,4810.0,3004.0,4632.0,4813.0,4813.0,4813.0,3332.0,4813.0,4813.0,4813.0,4052.0,4813.0,4813.0,4813.0,4813.0,3134.0,2142.0
9,AADAM,456.0,327.0,328.0,421.0,326.0,322.0,374.0,373.0,434.0,467.0,543.0,432.0,461.0,470.0,472.0,374.0,413.0,381.0,334.0,444.0,472.0
12,AADEN,4813.0,4813.0,2693.0,3996.0,2556.0,4813.0,4813.0,3315.0,4813.0,4647.0,2941.0,3744.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
15,AADHAV,4608.0,3937.0,3959.0,4813.0,4023.0,3908.0,4813.0,4685.0,2721.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
23,AADI,3848.0,2266.0,3412.0,2052.0,3079.0,1902.0,1486.0,1920.0,1756.0,1909.0,1551.0,1099.0,1596.0,2741.0,1280.0,1851.0,4813.0,4813.0,4813.0,4813.0,4813.0
25,AADIL,1825.0,2266.0,1382.0,2172.0,1704.0,1442.0,1144.0,1462.0,1507.0,976.0,1241.0,1425.0,1242.0,820.0,832.0,666.0,678.0,746.0,586.0,559.0,579.0
26,AADIT,4608.0,2728.0,4749.0,3040.0,4810.0,4747.0,4813.0,3822.0,2117.0,4647.0,3332.0,1859.0,3687.0,3095.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
28,AADITYA,3334.0,4702.0,2112.0,1627.0,2335.0,3373.0,1721.0,2055.0,1756.0,2194.0,2036.0,2318.0,3158.0,1885.0,3385.0,2754.0,4813.0,4813.0,4813.0,4813.0,4813.0
29,AADVIK,2960.0,1745.0,1610.0,1703.0,2335.0,2483.0,3895.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
32,AAHAD,4608.0,4813.0,3412.0,4813.0,4813.0,4813.0,4813.0,4685.0,4813.0,4813.0,4813.0,4813.0,4432.0,4813.0,4813.0,4813.0,2578.0,3467.0,4813.0,4813.0,4813.0
33,AAHAN,1935.0,2266.0,2259.0,2324.0,2335.0,3004.0,2964.0,4813.0,3416.0,3830.0,4813.0,4527.0,3687.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
35,AAHIL,420.0,399.0,399.0,409.0,399.0,442.0,475.0,611.0,606.0,852.0,744.0,972.0,1124.0,2023.0,3385.0,1851.0,2070.0,4813.0,4813.0,4813.0,4813.0
39,AAKASH,4813.0,3937.0,4813.0,4812.0,4813.0,4747.0,3895.0,3822.0,4813.0,3300.0,3865.0,4527.0,4813.0,3589.0,4052.0,2174.0,1878.0,2189.0,4813.0,1746.0,2501.0
43,AALIYAN,4813.0,3013.0,1786.0,3996.0,4023.0,4747.0,3362.0,4813.0,4813.0,4813.0,4813.0,3744.0,4432.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0,4813.0
