,Name,2020 Count,2019 Count,2018 Count,2017 Count,2016 Count,2015 Count,2014 Count,2013 Count,2012 Count,2011 Count,2010 Count,2009 Count,2008 Count,2007 Count,2006 Count,2005 Count,2004 Count,2003 Count,2002 Count,2001 Count,2000 Count
5,A'ISHA,0.0,10.0,0.0,4.0,9.0,11.0,9.0,5.0,5.0,4.0,6.0,5.0,4.0,10.0,0.0,3.0,4.0,3.0,0.0,8.0,:
6,A'ISHAH,0.0,0.0,0.0,3.0,0.0,0.0,7.0,3.0,5.0,3.0,9.0,0.0,4.0,7.0,3.0,5.0,6.0,6.0,5.0,8.0,3
13,AADHYA,35.0,26.0,30.0,30.0,33.0,28.0,30.0,17.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
19,AADYA,13.0,20.0,23.0,15.0,27.0,19.0,20.0,27.0,12.0,10.0,4.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,:
20,AAEESHA,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
21,AAFIA,8.0,5.0,7.0,6.0,6.0,10.0,5.0,6.0,10.0,10.0,9.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,:
22,AAFIYA,16.0,15.0,11.0,6.0,15.0,10.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,:
23,AAFIYAH,31.0,24.0,22.0,23.0,11.0,9.0,10.0,9.0,7.0,5.0,5.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,:
24,AAFREEN,0.0,0.0,3.0,5.0,0.0,3.0,5.0,0.0,11.0,6.0,4.0,3.0,5.0,0.0,0.0,6.0,0.0,6.0,5.0,4.0,:
27,AAHANA,13.0,12.0,15.0,9.0,10.0,4.0,6.0,3.0,9.0,7.0,10.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,:
28,AAHNA,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
30,AAILA,20.0,17.0,28.0,19.0,16.0,26.0,22.0,16.0,8.0,9.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
33,AAIMA,22.0,30.0,17.0,16.0,15.0,22.0,15.0,20.0,8.0,6.0,9.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,:
35,AAIRA,55.0,51.0,65.0,29.0,28.0,22.0,33.0,22.0,6.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
36,AAIRAH,65.0,55.0,56.0,44.0,40.0,44.0,20.0,14.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
37,AAISHA,15.0,20.0,22.0,23.0,19.0,22.0,16.0,29.0,35.0,32.0,28.0,28.0,40.0,49.0,40.0,34.0,37.0,38.0,46.0,34.0,28
38,AAISHAH,15.0,9.0,8.0,17.0,17.0,9.0,22.0,14.0,14.0,15.0,16.0,7.0,13.0,14.0,9.0,12.0,16.0,15.0,13.0,9.0,6
39,AAIZA,12.0,11.0,7.0,20.0,6.0,3.0,4.0,6.0,10.0,6.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,6.0,:
40,AAIZAH,4.0,3.0,6.0,7.0,5.0,6.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
