,Name,2020 Rank,2019 Rank,2018 Rank,2017 Rank,2016 Rank,2015 Rank,2014 Rank,2013 Rank,2012 Rank,2011 Rank,2010 Rank,2009 Rank,2008 Rank,2007 Rank,2006 Rank,2005 Rank,2004 Rank,2003 Rank,2002 Rank,2001 Rank,2000 Rank
5,A'ISHA,5877.0,2458.0,5877.0,4763.0,2757.0,2328.0,2659.0,4050.0,4171.0,4764.0,3533.0,3936.0,4524.0,2233.0,5877.0,4798.0,3725.0,4373.0,5877.0,2023.0,5877.0
6,A'ISHAH,5877.0,5877.0,5877.0,5765.0,5877.0,5877.0,3160.0,5742.0,4171.0,5785.0,2589.0,5877.0,4524.0,2895.0,5061.0,3382.0,2802.0,2727.0,2868.0,2023.0,3912.0
13,AADHYA,969.0,1252.0,1136.0,1144.0,1057.0,1204.0,1155.0,1707.0,1893.0,4049.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
19,AADYA,2042.0,1497.0,1393.0,1911.0,1241.0,1601.0,1501.0,1253.0,2215.0,2432.0,4688.0,5556.0,3860.0,2895.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
20,AAEESHA,5877.0,5877.0,5877.0,5765.0,5785.0,5730.0,5877.0,5877.0,2717.0,3549.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
21,AAFIA,2843.0,4001.0,3178.0,3583.0,3609.0,2496.0,4003.0,3536.0,2521.0,2432.0,2589.0,5877.0,3860.0,5201.0,5877.0,4798.0,5877.0,5877.0,5877.0,5877.0,5877.0
22,AAFIYA,1773.0,1854.0,2340.0,3583.0,1920.0,2496.0,3514.0,5742.0,5877.0,5877.0,4688.0,5877.0,5877.0,5201.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
23,AAFIYAH,1065.0,1316.0,1436.0,1411.0,2367.0,2705.0,2464.0,2649.0,3285.0,4049.0,4012.0,5877.0,4524.0,5877.0,5877.0,4798.0,5877.0,5877.0,5877.0,5877.0,5877.0
24,AAFREEN,5877.0,5877.0,5666.0,4063.0,5877.0,5730.0,4003.0,5877.0,2338.0,3549.0,4688.0,5556.0,3860.0,5877.0,5877.0,2970.0,5877.0,2727.0,2868.0,3262.0,5877.0
27,AAHANA,2042.0,2170.0,1887.0,2706.0,2547.0,4736.0,3514.0,5742.0,2717.0,3185.0,2392.0,3031.0,4524.0,4294.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
28,AAHNA,5877.0,5591.0,5877.0,5765.0,5877.0,4736.0,5877.0,5877.0,5877.0,5785.0,3156.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
30,AAILA,1507.0,1703.0,1200.0,1628.0,1834.0,1279.0,1411.0,1774.0,2969.0,2636.0,3156.0,3031.0,4524.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
33,AAIMA,1397.0,1119.0,1711.0,1817.0,1920.0,1452.0,1882.0,1537.0,2969.0,3549.0,2589.0,2326.0,5545.0,5201.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
35,AAIRA,674.0,749.0,624.0,1184.0,1211.0,1452.0,1070.0,1433.0,3681.0,2432.0,2843.0,5556.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
36,AAIRAH,597.0,703.0,710.0,870.0,916.0,845.0,1501.0,1956.0,5876.0,4764.0,5877.0,5556.0,5545.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
37,AAISHA,1846.0,1497.0,1436.0,1411.0,1635.0,1452.0,1798.0,1177.0,1018.0,1067.0,1150.0,1105.0,831.0,693.0,770.0,824.0,758.0,731.0,603.0,732.0,804.0
38,AAISHAH,1846.0,2643.0,2901.0,1733.0,1749.0,2705.0,1411.0,1956.0,1991.0,1807.0,1731.0,3031.0,1914.0,1741.0,2320.0,1796.0,1383.0,1383.0,1442.0,1870.0,2416.0
39,AAIZA,2163.0,2286.0,3178.0,1568.0,3609.0,5730.0,4684.0,3536.0,2521.0,3549.0,5877.0,4564.0,5877.0,5877.0,5061.0,5877.0,4598.0,5877.0,4137.0,2466.0,5877.0
40,AAIZAH,4535.0,5591.0,3518.0,3229.0,4096.0,3615.0,4684.0,5742.0,4838.0,4764.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
41,AAKIFA,5493.0,5877.0,4684.0,5877.0,5877.0,5730.0,5877.0,5877.0,5877.0,5785.0,5877.0,5877.0,5545.0,5877.0,4157.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
42,AAKIFAH,5493.0,4001.0,3518.0,5877.0,3214.0,2945.0,4003.0,3160.0,3285.0,3549.0,4012.0,2535.0,2487.0,2895.0,2509.0,1934.0,1836.0,1628.0,1442.0,1728.0,1995.0
44,AALA,2843.0,3541.0,3985.0,4063.0,5877.0,5730.0,2464.0,4739.0,5877.0,4049.0,4688.0,5877.0,4524.0,5877.0,5061.0,5877.0,5877.0,5877.0,2868.0,5877.0,5877.0
45,AALAA,5877.0,5877.0,5666.0,5877.0,5785.0,5877.0,5877.0,5877.0,5877.0,4764.0,4012.0,5877.0,5877.0,5201.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
47,AALAYAH,2042.0,2286.0,3985.0,2502.0,4763.0,2945.0,3160.0,2313.0,2717.0,4049.0,4688.0,5877.0,3860.0,5877.0,5877.0,5877.0,3725.0,4373.0,5877.0,5877.0,5877.0
52,AALEYAH,2300.0,1703.0,1887.0,1817.0,2008.0,1783.0,1702.0,1707.0,1583.0,1729.0,2843.0,1668.0,3397.0,3667.0,4157.0,3382.0,4598.0,5877.0,5877.0,5877.0,5877.0
53,AALIA,1449.0,1153.0,1586.0,1258.0,1525.0,1279.0,986.0,1177.0,1428.0,1807.0,1429.0,1526.0,1718.0,2627.0,2509.0,1934.0,1459.0,1722.0,1530.0,2023.0,1831.0
54,AALIAH,4535.0,5877.0,5877.0,5765.0,4763.0,5877.0,5691.0,5742.0,5877.0,4049.0,5707.0,3936.0,1914.0,2895.0,1386.0,1500.0,1312.0,1129.0,1245.0,1238.0,2416.0
55,AALIMAH,5877.0,5591.0,3518.0,5765.0,5785.0,4736.0,4684.0,5877.0,5876.0,5785.0,5877.0,5877.0,3860.0,5201.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
57,AALIYA,1352.0,1063.0,1314.0,1021.0,1142.0,1204.0,890.0,1177.0,1018.0,1196.0,910.0,1209.0,1135.0,1160.0,1087.0,890.0,712.0,893.0,761.0,898.0,1033.0
58,AALIYAH,125.0,141.0,128.0,129.0,123.0,133.0,125.0,121.0,125.0,116.0,129.0,132.0,122.0,143.0,108.0,129.0,109.0,96.0,92.0,182.0,268.0
62,AALIYAH:MAE,5493.0,5591.0,5877.0,5765.0,3609.0,5877.0,5691.0,4739.0,5877.0,5785.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
65,AALIYAH:MAY,5877.0,5591.0,5666.0,5877.0,5877.0,5730.0,5877.0,5742.0,5876.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
67,AALIYAH:ROSE,2300.0,2458.0,2187.0,2502.0,2008.0,3252.0,2203.0,2887.0,4171.0,4049.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
68,AALIYHA,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,3681.0,4764.0,5877.0,5877.0,5877.0,4294.0,5061.0,5877.0,5877.0,2191.0,2868.0,5877.0,5877.0
70,AALYA,3899.0,5877.0,5666.0,5765.0,5877.0,5877.0,4684.0,5877.0,5877.0,5785.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
77,AAMANI,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,4838.0,5877.0,5707.0,4564.0,3397.0,5877.0,2781.0,4798.0,5877.0,4373.0,5877.0,5877.0,5877.0
78,AAMAYA,4535.0,5877.0,4684.0,5877.0,5785.0,4736.0,5877.0,5877.0,5876.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
80,AAMENA,4535.0,4001.0,5666.0,5765.0,4763.0,5730.0,5691.0,3160.0,4171.0,2432.0,3533.0,5556.0,5877.0,2895.0,5061.0,2084.0,3197.0,2727.0,2540.0,1870.0,2416.0
81,AAMENAH,5877.0,5877.0,5877.0,4763.0,5877.0,4103.0,4684.0,5742.0,4171.0,4764.0,4688.0,5877.0,5877.0,5877.0,3116.0,5877.0,5877.0,2436.0,5877.0,5877.0,2746.0
82,AAMILAH,2843.0,4001.0,3178.0,2201.0,2367.0,2070.0,1562.0,1956.0,1991.0,1903.0,1901.0,3936.0,3005.0,3667.0,3548.0,3382.0,3197.0,3099.0,5877.0,5877.0,5877.0
83,AAMINA,1127.0,1095.0,920.0,870.0,768.0,686.0,890.0,650.0,738.0,603.0,586.0,525.0,618.0,534.0,594.0,499.0,581.0,619.0,631.0,627.0,804.0
84,AAMINAH,505.0,519.0,472.0,381.0,458.0,364.0,348.0,338.0,390.0,380.0,387.0,428.0,456.0,479.0,526.0,541.0,574.0,482.0,523.0,710.0,582.0
85,AAMIRA,3447.0,2170.0,2499.0,2341.0,1834.0,2070.0,3514.0,1864.0,2969.0,1545.0,1731.0,5556.0,3860.0,4294.0,5877.0,3970.0,4598.0,5877.0,5877.0,5877.0,3912.0
86,AAMIRAH,3447.0,4001.0,5666.0,2502.0,5785.0,5730.0,4003.0,4050.0,3285.0,3185.0,2235.0,3031.0,3397.0,3667.0,1862.0,2970.0,2278.0,2436.0,2301.0,1439.0,2416.0
88,AAMNA,3899.0,2643.0,2340.0,2201.0,2008.0,2496.0,1882.0,1639.0,1649.0,1374.0,1180.0,1055.0,916.0,1073.0,909.0,1045.0,1617.0,1176.0,1151.0,1107.0,1139.0
89,AAMNAH,5877.0,5591.0,5666.0,5765.0,5785.0,5877.0,5691.0,5877.0,3681.0,5785.0,5877.0,3936.0,2721.0,4294.0,3548.0,5877.0,3725.0,3594.0,2301.0,5877.0,3247.0
92,AANAYA,3117.0,2869.0,4684.0,4763.0,2757.0,5730.0,4003.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
94,AANIA,5877.0,2869.0,5877.0,5765.0,5785.0,5877.0,4003.0,4739.0,4171.0,2275.0,4688.0,4564.0,4524.0,4294.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
96,AANISAH,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5691.0,5877.0,5876.0,5877.0,4012.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,4373.0,4137.0,3262.0,1995.0
98,AANIYA,5493.0,3541.0,5877.0,3583.0,3214.0,3615.0,4003.0,5742.0,4171.0,4764.0,4012.0,5877.0,5545.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
99,AANIYAH,3899.0,4686.0,3985.0,4763.0,2547.0,3252.0,2314.0,3536.0,4838.0,5785.0,5877.0,5877.0,5877.0,5201.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
101,AANVI,4535.0,2458.0,2187.0,4763.0,5877.0,5877.0,5691.0,5877.0,5876.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
102,AANYA,1238.0,980.0,1343.0,1219.0,1086.0,585.0,794.0,802.0,789.0,569.0,655.0,1139.0,817.0,1337.0,1280.0,1934.0,1952.0,1843.0,1530.0,2023.0,2746.0
103,AARA,2843.0,2458.0,2901.0,2341.0,4096.0,2945.0,3514.0,3160.0,3681.0,2893.0,4688.0,4564.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
106,AARADHYA,1773.0,2458.0,2187.0,1817.0,1472.0,1405.0,1628.0,1587.0,2338.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
111,AARIA,1065.0,1316.0,1059.0,1568.0,1635.0,1711.0,2058.0,3160.0,3681.0,5877.0,3533.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
112,AARIAH,5877.0,3151.0,3178.0,2706.0,4763.0,3615.0,5877.0,5877.0,4838.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
113,AARIANA,5877.0,5877.0,5877.0,5765.0,4096.0,4736.0,5691.0,5877.0,5877.0,5785.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
116,AARIFAH,5877.0,5877.0,5877.0,5877.0,5877.0,5730.0,4684.0,3536.0,3681.0,5785.0,2843.0,5556.0,3397.0,4294.0,5061.0,5877.0,3197.0,3594.0,5877.0,3998.0,3912.0
117,AARIKA,5493.0,5877.0,4684.0,4763.0,5877.0,4736.0,5877.0,5742.0,5877.0,4049.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
120,AARIYA,1200.0,1218.0,1490.0,1512.0,1241.0,1783.0,1628.0,1707.0,3285.0,3185.0,3533.0,5877.0,5545.0,5201.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
121,AARIYAH,3117.0,2286.0,2901.0,2706.0,5877.0,3252.0,5691.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
122,AARNA,1013.0,1095.0,1977.0,1733.0,1834.0,1362.0,1367.0,1956.0,1342.0,1545.0,2843.0,1467.0,2292.0,3218.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
123,AAROHI,1618.0,2643.0,2674.0,2201.0,1834.0,2328.0,1234.0,2649.0,3681.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
125,AARTI,5493.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,3860.0,3667.0,4157.0,4798.0,5877.0,4373.0,4137.0,2783.0,2746.0
126,AARUHI,5493.0,5877.0,5666.0,4763.0,4763.0,5877.0,5691.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
129,AARUSHI,2615.0,2869.0,3518.0,2925.0,2120.0,2195.0,1882.0,2887.0,3681.0,2432.0,2392.0,2148.0,3397.0,1854.0,2781.0,3382.0,3725.0,4373.0,4137.0,5877.0,5877.0
130,AARVI,1449.0,2170.0,1887.0,1817.0,2367.0,3615.0,3160.0,3536.0,5877.0,5877.0,4688.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
131,AARYA,545.0,806.0,720.0,701.0,615.0,602.0,763.0,900.0,758.0,1168.0,1584.0,1752.0,2022.0,3667.0,3116.0,3970.0,3197.0,4373.0,5877.0,5877.0,5877.0
136,AARZOO,5877.0,5877.0,5877.0,5877.0,5877.0,4736.0,5877.0,5877.0,5877.0,5877.0,5707.0,5877.0,5877.0,5877.0,5877.0,2970.0,5877.0,4373.0,2868.0,3262.0,2416.0
138,AASHA,5877.0,5877.0,5666.0,5877.0,5877.0,5877.0,5691.0,5742.0,5876.0,5877.0,5707.0,5556.0,5877.0,5201.0,5061.0,5877.0,3725.0,5877.0,3409.0,5877.0,3912.0
139,AASHI,2615.0,3151.0,4684.0,3583.0,2966.0,2945.0,3160.0,2176.0,2338.0,2893.0,2589.0,3031.0,3005.0,3667.0,5061.0,3382.0,5877.0,5877.0,5877.0,5877.0,5877.0
142,AASHNA,5877.0,5877.0,5877.0,5877.0,4096.0,2705.0,3160.0,3160.0,4171.0,2432.0,4012.0,4564.0,5545.0,5201.0,3548.0,3382.0,5877.0,5877.0,5877.0,5877.0,5877.0
143,AASHNI,5877.0,5877.0,5877.0,5877.0,5785.0,5877.0,5691.0,4739.0,5876.0,4764.0,5877.0,5877.0,5877.0,5201.0,5877.0,5877.0,3725.0,4373.0,5877.0,5877.0,5877.0
146,AASHVI,2449.0,2286.0,2901.0,4763.0,2233.0,1961.0,4684.0,5877.0,5877.0,5877.0,5877.0,3422.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
147,AASIA,5877.0,5877.0,5877.0,4063.0,4763.0,2945.0,5691.0,5877.0,5877.0,3185.0,4012.0,3936.0,4524.0,5877.0,3548.0,5877.0,4598.0,5877.0,4137.0,5877.0,5877.0
148,AASIYA,1773.0,1634.0,1887.0,2502.0,1370.0,2945.0,2659.0,1707.0,1583.0,1903.0,1993.0,2148.0,2487.0,4294.0,3116.0,2438.0,3725.0,1996.0,2540.0,3262.0,2416.0
149,AASIYAH,840.0,737.0,864.0,855.0,768.0,909.0,1120.0,1098.0,1342.0,1327.0,1389.0,1526.0,1718.0,2233.0,1983.0,1406.0,1617.0,2436.0,2105.0,2783.0,1995.0
150,AASTHA,5877.0,5877.0,5877.0,4763.0,5877.0,5730.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5545.0,5877.0,5061.0,4798.0,3725.0,4373.0,5877.0,5877.0,5877.0
155,AATIKA,5493.0,5877.0,5877.0,4063.0,5877.0,5877.0,4684.0,4739.0,5877.0,5785.0,5877.0,5556.0,5877.0,5877.0,4157.0,4798.0,4598.0,5877.0,5877.0,5877.0,5877.0
156,AATIKAH,5877.0,5877.0,5877.0,4763.0,5877.0,4103.0,4684.0,5877.0,5877.0,4049.0,4688.0,5556.0,5877.0,3667.0,5061.0,4798.0,3725.0,3594.0,4137.0,3262.0,3912.0
159,AAVA,5877.0,5877.0,5877.0,5877.0,4763.0,4736.0,4003.0,5877.0,5877.0,5877.0,4688.0,5877.0,5877.0,5201.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
161,AAVYA,2300.0,2286.0,1977.0,2502.0,2008.0,2945.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
162,AAYA,5877.0,5591.0,5666.0,4763.0,5877.0,4736.0,5877.0,5877.0,4171.0,5877.0,4688.0,4564.0,5545.0,4294.0,4157.0,1934.0,5877.0,3594.0,2540.0,3262.0,5877.0
163,AAYAH,992.0,1218.0,1111.0,1457.0,2120.0,1961.0,2464.0,2176.0,2717.0,3185.0,3533.0,3936.0,5877.0,4294.0,5061.0,5877.0,3197.0,5877.0,5877.0,5877.0,5877.0
164,AAYANA,5877.0,5877.0,4684.0,4763.0,4763.0,5730.0,5877.0,5742.0,4838.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
165,AAYAT,426.0,609.0,670.0,624.0,975.0,1088.0,750.0,1177.0,916.0,3185.0,4012.0,5877.0,5877.0,4294.0,4157.0,4798.0,5877.0,5877.0,5877.0,5877.0,5877.0
167,AAYESHA,5877.0,4686.0,5877.0,5765.0,5877.0,5877.0,5877.0,4739.0,5877.0,5877.0,5877.0,5877.0,5545.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,3262.0,5877.0
168,AAYLA,2300.0,1562.0,4684.0,3583.0,2547.0,2705.0,5877.0,4050.0,4838.0,4764.0,5877.0,5877.0,5877.0,4294.0,4157.0,4798.0,5877.0,5877.0,5877.0,5877.0,5877.0
172,AAYRA,2163.0,2643.0,3518.0,3229.0,4763.0,5877.0,5691.0,5877.0,5877.0,5785.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
175,AAYUSHI,5877.0,5591.0,5877.0,5877.0,5785.0,5877.0,5877.0,5877.0,5877.0,3549.0,4012.0,3936.0,3860.0,4294.0,5061.0,5877.0,5877.0,5877.0,5877.0,3262.0,5877.0
184,ABBEY,3899.0,2643.0,1887.0,1995.0,1416.0,1114.0,779.0,839.0,654.0,575.0,601.0,556.0,408.0,463.0,436.0,349.0,248.0,242.0,221.0,190.0,195.0
187,ABBEYGAIL,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,4838.0,5877.0,4012.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,3594.0,2301.0,3998.0,2416.0
190,ABBI,5877.0,5591.0,5877.0,5877.0,3214.0,4103.0,2314.0,2313.0,1297.0,1225.0,1520.0,932.0,734.0,836.0,549.0,499.0,384.0,384.0,353.0,362.0,330.0
194,ABBIE,1127.0,651.0,641.0,507.0,379.0,345.0,249.0,222.0,167.0,158.0,139.0,117.0,96.0,88.0,80.0,53.0,44.0,38.0,42.0,44.0,46.0
200,ABBIE:JO,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5201.0,5061.0,5877.0,5877.0,3594.0,4137.0,3998.0,5877.0
203,ABBIE:LEIGH,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5691.0,4050.0,4171.0,3185.0,5707.0,2759.0,2292.0,4294.0,3116.0,2682.0,2278.0,1996.0,2540.0,3998.0,3912.0
204,ABBIE:LOUISE,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,4764.0,5877.0,5556.0,5545.0,5201.0,3548.0,4798.0,3197.0,5877.0,2105.0,5877.0,3912.0
205,ABBIE:MAE,5877.0,5877.0,5877.0,5877.0,5877.0,5730.0,4003.0,5742.0,4838.0,5785.0,5877.0,5877.0,4524.0,3218.0,5877.0,5877.0,5877.0,4373.0,4137.0,3998.0,5877.0
207,ABBIE:MAY,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5691.0,5877.0,5876.0,4764.0,4688.0,3936.0,5545.0,5877.0,5877.0,2970.0,5877.0,4373.0,3409.0,5877.0,3247.0
208,ABBIE:ROSE,5877.0,5877.0,5666.0,5765.0,5785.0,5730.0,5877.0,5877.0,4838.0,5785.0,5877.0,5877.0,5877.0,5877.0,5877.0,4798.0,4598.0,5877.0,5877.0,3998.0,5877.0
209,ABBIEGAIL,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,4739.0,5876.0,5785.0,5707.0,5556.0,5545.0,5877.0,4157.0,2247.0,1952.0,2436.0,2868.0,2783.0,3247.0
214,ABBIGAIL,5493.0,5591.0,3518.0,2925.0,3214.0,4103.0,1882.0,1864.0,1583.0,1903.0,1294.0,1596.0,1093.0,1073.0,1243.0,851.0,804.0,781.0,735.0,642.0,637.0
215,ABBIGALE,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5742.0,5877.0,5877.0,5877.0,3936.0,5545.0,5877.0,5877.0,3382.0,2112.0,5877.0,5877.0,3998.0,3247.0
217,ABBY,1267.0,1497.0,1234.0,982.0,744.0,831.0,668.0,604.0,596.0,420.0,422.0,398.0,348.0,248.0,288.0,199.0,125.0,100.0,100.0,110.0,129.0
222,ABBYGAIL,5877.0,5877.0,5877.0,5877.0,5785.0,5877.0,3514.0,5742.0,5877.0,5877.0,5707.0,3031.0,4524.0,3218.0,3116.0,2970.0,2802.0,1722.0,2105.0,1870.0,1195.0
229,ABEEHA,537.0,1119.0,1200.0,1330.0,1370.0,1168.0,1456.0,1537.0,1525.0,1374.0,1901.0,3422.0,2487.0,2085.0,4157.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
230,ABEER,3447.0,5591.0,3178.0,4063.0,5785.0,4736.0,4003.0,2460.0,5876.0,2636.0,5877.0,5556.0,5877.0,5201.0,1862.0,2682.0,4598.0,2436.0,2540.0,2466.0,5877.0
231,ABEERA,1267.0,1497.0,1711.0,1512.0,1920.0,1711.0,1628.0,1537.0,1525.0,1545.0,2392.0,2326.0,3860.0,4294.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
232,ABEERAH,5493.0,5877.0,5877.0,5765.0,5785.0,3252.0,4684.0,5877.0,4838.0,5785.0,4012.0,5877.0,3397.0,4294.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
234,ABELLA,4535.0,5877.0,3178.0,5765.0,5877.0,5877.0,4003.0,5742.0,5876.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0
235,ABENA,4535.0,4686.0,3985.0,4063.0,5877.0,3252.0,5877.0,2887.0,2969.0,2432.0,4688.0,2759.0,2487.0,2233.0,1862.0,1690.0,2112.0,2436.0,1784.0,2783.0,2416.0
241,ABI,3117.0,1940.0,3985.0,3229.0,2233.0,1961.0,1120.0,1075.0,1184.0,681.0,709.0,467.0,319.0,313.0,276.0,204.0,214.0,433.0,643.0,796.0,701.0
242,ABI:LEIGH,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5877.0,5742.0,5877.0,5785.0,5877.0,5877.0,5545.0,4294.0,5877.0,2438.0,4598.0,5877.0,5877.0,5877.0,5877.0
